_Antwort-ID;Resume-Code;Start;Datum und Zeit;Teilnahmestatus;1. Welche Rolle haben Sie?;5. Bitte beantworten Sie die unten stehenden Fragen.;In unserem Team ist allen klar, was wir erreichen wollen.;Wir können uns aufeinander verlassen.;Wir treffen uns ausreichend häufig, um effektiv zu kommunizieren und die Aufgaben zu koordinieren.;Die Teammitglieder bieten einander bei auftretenden Schwierigkeiten oder Engpässen Hilfe an.;Alle sind jederzeit aufgeschlossen gegenüber neuen Ideen.;Alle können offen über Fehler sprechen.;Unser Team überprüft regelmäßig den Fortschritt bei der Erreichung gesetzter Ziele.;Die Teamleitung ist für die Teammitglieder ausreichend ansprechbar, um Probleme oder Schwierigkeiten zu diskutieren.;Die Teamleitung ist aufgeschlossen ggü. Verbesserungsvorschlägen der Teammitglieder.;Die Teamleitung macht jederzeit deutlich, welche Ergebnisse und Leistungen erwartet werden.;Wenn es besonders schwierige oder anstrengende Projekte gibt, ermutigt und unterstützt die Teamleitung das Team.;Die Teamleitung erkennt gute Leistungen und besondere Anstrengungen an.;6. Wie wohl fühlen Sie sich im Team auf einer Skala von 1 (sehr unwohl) bis 10 (sehr wohl);8. Mit welchen Schlagworten / Adjektiven würden Sie die Stimmung im Team beschreiben?;9. Welche Konflikte existieren in ihrem Team?;10. Wie würden Sie ihr Verhältnis zu ihrem direkten Vorgesetzen charakterisieren?
64038447;3D12693;14.03.2019 09:26;14.03.2019 09:26;teilgenommen und beendet;Mitarbeiter;;2;4;1;5;5;3;1;5;1;3;3;3;4;;ich hab keinen Bock auf die tändigen Reibereien hier;
64038448;3D12694;14.03.2019 09:26;14.03.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;4;5;4;2;4;4;5;2;3;3;3;8;so lala;wegen kleinigkeiten streiten sich hier alle;
64038449;3D12695;14.03.2019 09:26;14.03.2019 09:26;teilgenommen und beendet;Mitarbeiter;;4;4;4;4;4;3;5;2;4;4;4;2;7;naja;;der ist ein ziemlucher Hallodri
64038450;3D12696;14.03.2019 09:26;14.03.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;2;3;2;3;3;4;4;4;3;1;5;3;war schonmal besser;;Mein chef ist eine Arschgeige
64038451;3D12697;14.03.2019 09:26;14.03.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;1;5;5;2;3;3;4;4;3;5;3;3;wahnsinnig schlecht;jeder denkt er ist schlauer als der andere;der schlechteste Che den ich je hatte
64038452;3D12698;14.03.2019 09:26;14.03.2019 09:26;teilgenommen und beendet;Mitarbeiter;;3;1;3;1;4;1;4;1;5;5;1;4;2;kacke;;
64038453;3D12699;14.03.2019 09:26;14.03.2019 09:26;teilgenommen und beendet;Mitarbeiter;;3;5;3;2;5;3;5;5;4;2;4;3;2;sehr schlecht;jeder versucht hier den andren zu maipulieren;
64038454;3D1269A;14.03.2019 09:26;14.03.2019 09:26;teilgenommen und beendet;Mitarbeiter;;2;4;2;2;3;1;3;1;5;4;1;2;4;miserabel;ein Kollege schaut mich immer so komsich an, ganz schlimmer typ ist das!;
64038455;3D1269B;14.03.2019 09:26;14.03.2019 09:26;teilgenommen und beendet;Mitarbeiter;;4;5;4;4;2;2;2;1;4;1;4;4;9;;ich hab keinen Bock auf die tändigen Reibereien hier;
64038456;3D1269C;14.03.2019 09:26;14.03.2019 09:26;teilgenommen und beendet;Mitarbeiter;;1;2;5;5;4;1;2;2;1;1;1;2;4;;wegen kleinigkeiten streiten sich hier alle;sehr guter Chef, wir verstehen uns prima
